"COP","country","ID","title","date","source","text"
"COP21","Nigeria","COP21_Nigeria1","Buhari to Attend CHOGM in Malta, UN Conference On Climate Change","November 25, 2015","Leadership (Abuja)","President Muhammadu Buhari will leave Abuja on Nov. 26 for Malta to participate in the 2015 Commonwealth Heads of Government Meeting. This information is contained in a statement issued in Abuja on Wednesday by the President's Special Adviser on Media and Publicity, Mr Femi Adesina. The meeting begins in the island nation on Friday. The Commonwealth is made up of Britain, Nigeria and 51 other countries that work together to pursue common goals and promote development, democracy, peace, security and good governance. According to the statement, Buhari and other Heads of State and Government are expected to deliberate on fresh Commonwealth initiatives on development and climate change with a view to adding greater value to ongoing global efforts in these areas. ""A new Secretary-General of the Commonwealth who will take over from the incumbent, Kamalesh Sharma, will be announced at the summit which will also feature the presentation of a progress report on the eradication of polio"", the statement said. It stated that the Head of the Commonwealth, Her Majesty, Queen Elizabeth II, would formally declare the summit open and host a banquet in honour of President Buhari and other participating Heads of State and Government. It said that at the conclusion of the Summit on Sunday, Buhari will leave Malta for Paris where he would present Nigeria's statement at the United Nations Climate Change Conference scheduled to open in the French capital on Nov. 30. Adesina stated that the President would be joining over 100 other world leaders at the Leaders Event on the opening day of the conference. The conference will be hosted by President Francois Hollande of France and the Secretary-General of the United Nations, Mr Ban Ki-moon. Buhari will also participate in a summit of the Heads of State and Government of the Lake Chad Basin Commission and Benin Republic. It will take place on Dec. 2 in Paris on the sidelines of the UN conference on Climate Change . ""Deliberations at the Paris meeting of the Lake Chad Basin Commission and Benin Republic will focus mainly on the war against Boko Haram and other security issues of common interest to participating countries"", the statement said. It said Buhari would be accompanied on the trip by the Minister of Foreign Affairs, Mr Geoffrey Onyeama, the Minister of Environment, Mrs Amina Mohammed and the National Security Adviser, retired Maj.-Gen. Babagana Monguno. (NAN) \"
"COP21","Nigeria","COP21_Nigeria2","President Buhari to participate in CHOGM, UN Conference on Climate Change","November 25, 2015 Wednesday","PM News","President Muhammadu Buhari of Nigeria President Muhammadu Buhari will leave Abuja on Nov. 26 for Malta to participate in the 2015 Commonwealth Heads of Government Meeting. This information is contained in a statement issued in Abuja on Wednesday by the President's Special Adviser on Media and Publicity, Mr Femi Adesina. The meeting begins in the island nation on Friday. According to the statement, Buhari and other Heads of State and Government are expected to deliberate on fresh Commonwealth initiatives on development and climate change with a view to adding greater value to ongoing global efforts in these areas. A new Secretary-General of the Commonwealth who will take over from the incumbent, Kamalesh Sharma, will be announced at the summit which will also feature the presentation of a progress report on the eradication of polio'', the statement said. It stated that the Head of the Commonwealth, Her Majesty, Queen Elizabeth II, would formally declare the summit open and host a banquet in honour of President Buhari and other participating Heads of State and Government. It said that at the conclusion of the Summit on Sunday, Buhari will leave Malta for Paris where he would present Nigeria's statement at the United Nations Climate Change Conference scheduled to open in the French capital on Nov. 30. Adesina stated that the President would be joining over 100 other world leaders at the Leaders Event on the opening day of the conference. The conference will be hosted by President Francois Hollande of France and the Secretary-General of the United Nations, Mr Ban Ki-moon. Buhari will also participate in a summit of the Heads of State and Government of the Lake Chad Basin Commission and Benin Republic. It will take place on Dec. 2 in Paris on the sidelines of the UN conference on Climate Change . Deliberations at the Paris meeting of the Lake Chad Basin Commission and Benin Republic will focus mainly on the war against Boko Haram and other security issues of common interest to participating countries'', the statement said. It said Buhari would be accompanied on the trip by the Minister of Foreign Affairs, Mr Geoffrey Onyeama, the Minister of Environment, Mrs Amina Mohammed and the National Security Adviser, retired Maj.-Gen. Babagana Monguno. \"
"COP21","Nigeria","COP21_Nigeria3","#COP21: Save Lake Chad's ecosystem from depletion, Buhari tells world leaders","November 30, 2015 Monday","PM News","President Muhammadu Buhari speaking at the Climate Change Summit in Paris President Muhammadu Buhari on Monday in Paris called on world leaders to forge a united front to save Lake Chad's ecosystem from further depletion caused by the adverse effects of climate change. Speaking at the Leaders Event of the United Nations Climate Change Conference , commonly referred to as COP 21 , in Paris, President Buhari said climate change has continued to pose a threat to Nigeria's security and development. At the sub-regional level, we are saddled with the challenge of the drying up of the Lake Chad Basin, which is resulting in the total wipe out of livelihoods of many communities surrounding this transboundary natural resource. Regrettably, the world is leaving behind millions of people who depend on the Lake for their survival. The Government of Nigeria welcomes the Lake Chad Development and Climate Resilience Plan, and the Lake Chad Basin Commission and international partners for designing this climate-based Plan. In all, the experience of countries sharing the Lake Chad further illustrates the mutual challenge we face today and which must be collectively addressed without further delay."" On Nigeria's position on the climate change negotiations, President Buhari said any meaningful and potential agreement on climate change in Paris, must draw extensively on the principles of common but differentiated responsibilities and respective capabilities."" The President, who shortly before his arrival to Paris approved Nigeria's Intended National Determined Contributions (INDC) to tackle climate change , said for any agreement in Paris to be durable, it must recognize not only the emission right but also the survival rights of the citizens of developing countries."" The President also used the occasion of his address to around 150 leaders, who attended the opening ceremony of the summit, to affirm Nigeria's position of a potential agreement that equitably addresses climate change mitigation and adaptation activities. He said the potential agreement must make provisions for adequate financing, technology transfer and capacity development in the developing countries. The President therefore called for the establishment of an effective means of monitoring, reviewing and verification of availability as well as accessibility of funds to the developing countries in order to address the challenges of climate change. He assured world leaders of Nigeria's readiness to support a legally binding and all-encompassing Paris Agreement, which must be fair to all. \"
"COP21","Nigeria","COP21_Nigeria4","States Commitment to Greenhouse Gas Emission Reduction","November 30, 2015","This Day (Lagos)","President Muhammadu Buhari has approved the submission of the country's Intended Nationally Determined Contributions (INDC) to address climate change to United Nations Framework Convention on Climate Change (UNFCCC). Nigeria's INDC was approved by the President on November 26 and submitted to the UNFCCC on November 28, ahead of Monday's opening in Paris of the United Nations Climate Change conference , widely known as (Conference of Parties) COP 21 . A statement by the Special Adviser to the President on Media and Publicity, Mr Femi Adesina, said the Federal Government's policy to address climate change, as espoused in the country's INDC, committed to 20 per cent unconditional and 45 per cent conditional Greenhouse Gases (GHGs) emission reduction post 2020. He said the action plan announced by the Federal Government represented a fair and meaningful contribution to address climate change and equally reaffirmed Buhari's commitment to an economic transformation which, he said, placed inclusive green growth as key priority for this administration. Adesina said: ""Buhari is fully aware of the acute threat that climate change poses to Nigeria's development through flooding, desertification and insecurity, and many of these accrue from weather-related natural disasters."" MORE TO FOLLOW \"
"COP21","Nigeria","COP21_Nigeria5","Cop21 - Saraki, Others, Advocate Safer, Cleaner Environment","December 06, 2015","This Day (Lagos)","Senate President, Dr. Abubakar Bukola Saraki at the weekend in Paris urged his counterparts from across the world to become champions of the cause for saving the environment in their various jurisdictions; alongside calls by other leading parliamentarians around the globe. Saraki made the call while presiding over a session of the Globe COP 21 legislators' summit inside the French National Assembly Complex with the theme: 'Developments in National Legislation on Climate Change, Disaster, Risk Reduction, Energy and Sustainable Development - Towards Integrated National Planning on the 2015 Agenda'. He said the success of the current move to make the environment safer for all living beings required effective and efficient leadership which legislators were better placed to provide, in a release issued by the Special Adviser (Media and Publicity) to the Senate President, Alhaji Yusuph Olaniyonu. Saraki said legislators at the Globe summit had a challenge to go back to their home countries and domesticate the issues raised and share the experiences gathered so as to spread the success recorded in some places and avoid the mistakes encountered in some other countries. ""We must make changes through our parliaments. Parliamentarians are better placed to lead the campaign through legislations and advocacy programmes for the needed change of attitude, required investment and consistent attention necessary to reduce global warming and its dangerous consequence"", he added. Also speaking during the session, Representative Kenza El-Ghali, who is Vice President of the Chamber of Representatives in the Kingdom of Morroco, narrated the consistent laws and policies which the North African nation had initiated since 1992 towards promoting sustainable environment in line with global best practices. She said Morroco had initiated water and agriculture policies which have helped to promote a clean environment and that since 2010 the focus has shifted to having an energy policy focused on solar power through which 16,000 jobs have been created. In his contribution at the session, Dr. Kennedy Graham, who is President of Globe in New Zealand said his country has the specific challenge of earthquake and that the development has tasked the initiative of policy makers on the need to avert disaster and mitigate losses suffered by citizens during disasters. Graham said one of such policies already introduced in New Zealand is the Resource Management Act which he described as the first law to promote bio-diversity. \"
"COP21","Nigeria","COP21_Nigeria6","Buhari heads to Paris, approves Nigeria's contribution to Climate Change","November 30, 2015 Monday","PM News","President Muhammadu Buhari in Malta President Muhammadu Buhari has approved the submission of the country's Intended Nationally Determined Contributions (INDC) to address climate change to United Nations Framework Convention on Climate Change (UNFCCC). Nigeria's INDC was approved by the President on November 26 and submitted to the UNFCCC on November 28, ahead of Monday's opening in Paris of the United Nations Climate Change conference , widely known as COP 21 . The Federal Government's policy to address climate change, as espoused in the country's INDC, commits to 20 per cent unconditional and 45 per cent conditional Greenhouse Gases (GHGs) emission reduction post 2020. The action plan announced by the Federal Government represents a fair and meaningful contribution to address climate change and equally reaffirms President Buhari's commitment to an economic transformation which places inclusive, green growth as key priority for this administration. President Buhari is fully aware of the acute threat that climate change poses to Nigeria's development through flooding, desertification and insecurity, and many of these accrue from weather-related natural disasters. The Lake Chad is currently less than 10 per cent of its original size and little of the remaining waters is in Nigeria. Of an estimated 20 million people that lived on the Lake Chad Basin as at 2013, about 11.7 million were in the North Eastern region of Nigeria. Also during the conference in Paris, President Buhari is scheduled to participate in the launching of International Solar Alliance by the Indian Prime Minister and the French President, where he will seek international partnerships to deliver Nigeria's climate change response. \"
"COP21","Nigeria","COP21_Nigeria7","Nigeria to sign global pact on COP21 climate change","March 15, 2016 Tuesday","The Nation (Nigeria)","Vice President Yemi Osinbajospan data-term=""goog_295876019on Tuesdaypledged Nigeria's supports to the Paris agreement on Climate Change reached at the end of COP21 meeting held in France last December. According to him, Nigeria will join in the signing of the global pact in due course. He spoke at the Presidential Villa during a courtesy visit by the French Minister for the Environment, Power and Marine Affairs, who presided over the COP21 meeting in Paris, Ms. Segolene Royal. Osinbajo, according to a statement by the Senior Special Assistant on Media and Publicity, Laolu Akande, said that working together with the legislative arm of the Nigerian government, the country will play its part in signing the agreement and ensuring ratification. "" COP21 Nigeria, he said, was pleased with the meeting and its outcome-the Paris Agreement. He also harped on the need for the rehabilitation of Lake Chad which is being threatened by climate change. Lake Chad, he said, is also important from the point of view of security and economic factors. The Vice President restated Nigeria's concern about the lake and welcomed international support on its preservation and rehabilitation. He thanked the French minister for making a stop in Nigeria as she tours countries in the continent, expressing the hope that Nigeria and France would continue to expand diplomatic and economic relationships, especially as the federal government is now confronting a number of economic issues including diversification and development of infrastructure. The Vice President who was joined at the meeting by Nigeria's Environment Minister, Ms. Amina Mohammed, commended the effort of Ms. Royal in her role as COP21 president and pledged Nigeria's continued support. Speaking earlier, Ms. Royal told the Vice President that she is visiting Nigeria and a number of other African countries to ensure that the Paris Agreement is established through the signing and ratification process, and also beyond to encourage the signatories take concrete actions in line with the agreement after the signing. She noted the support of the international community on the preservation and rehabilitation of Lake Chad and announced that the Paris Agreement would be signed span data-term=""goog_295876020April 22at the United Nations. \"
"COP21","Nigeria","COP21_Nigeria8","Buhari Joins 150 World Leaders for Paris COP21","November 29, 2015","Leadership (Abuja)","President Muhammadu Buhari was scheduled to arrive Paris, France on Sunday evening to join about 150 other world leaders for the Conference of Parties 21 ( COP21 ) which aims to get nations to agree on how to deal with the issue of climate change. Even though governments have already committed themselves to limiting green house gas emissions that interfere with the climate, there is no agreement yet on practical actions to take. This Paris meeting is therefore seen as the last chance to arrive at concrete binding resolutions over issues which have been discussed every year since 1992 under the auspices of the United Nations. President Buhari was expected to leave for Paris from Malta where he had participated in the Commonwealth Heads of Government Meeting (CHOGM). He will present Nigeria's statement at the opening session today before participating in the launching of the International Solar Alliance same day, an initiative of Indian Prime Minister, Narendra Modi, who has invited around 110 nations to join the alliance. The alliance is to be named the International Agency for Solar Policy and Application (InSPA) and is aimed at a host of African nations and others located between located between Tropic of Cancer and Tropic of Capricorn. The President will thereafter attend a summit of the Heads of State and Government of the Lake Chad Basin Commission and Benin Republic which has been scheduled to take place on Tuesday on the sidelines of the COP21 . Deliberations at the Paris meeting of the Lake Chad Basin Commission and Benin Republic will focus mainly on the war against Boko Haram and other security issues of common interest to participating countries. Also on Tuesday, the President has been scheduled to participate in another COP21 sideline event titled ""the Conference on Climate Change and African Solutions"" organized by the African Union (AU). Participating with the President at the meetings will be the Minister of Foreign Affairs, Mr. Geoffrey Onyeama, the Minister of Environment, Mrs. Amina Mohammed and the National Security Adviser, Maj.-Gen. Babagana Monguno (rtd.) Meanwhile, France authorities have mounted right security to ensure the safety of the event following the deadly terrorist attacks that struck Paris recently. Major roads leading in and out of the conference venue and hotels hosting world leaders have been shut down for unauthorized traffic and a ban on public demonstrations has been put place blocking environmental campaigners' plans for a big march on Sunday in Paris to highlight the climate change issue. The conference will end on December 11. \"
"COP21","Nigeria","COP21_Nigeria9","15 Million Babies Are Born Prematurely Every Year - WHO","November 18, 2015","Leadership (Abuja)","The World Health Organization (WHO) has said that around 15 million babies are born prematurely each year. This means 1 in 10 babies born worldwide. According to the agency in a press statement obtained by our correspondent in New York on Wednesday, of these 15 million premature babies, around 1 million die from complications due to prematurity. More than three quarters of these babies could be saved through better access to quality care and medicines for both mother and baby, WHO further said. The statement pressed further that complications of preterm births are the leading cause of death among children under 5 years of age, stressing that without appropriate treatment, those who survive often face lifelong disabilities, including learning, visual and hearing problems and their quality of life is greatly affected. In an effort to improve preterm birth outcomes, the statement said WHO had published recommendations for managing preterm births that are designed to save lives and improve the health of preterm infants. Many of these recommendations are simple, proven and cost-effective measures. In a related development, the WHO has called on countries to protect health from climate change, saying that climate change is already causing tens of thousands of deaths every year - from shifting patterns of disease, from extreme weather events, such as heat-waves and floods, and from the degradation of air quality, food and water supplies, and sanitation. The agency said the upcoming United Nations Climate Change Conference ( COP-21 In 2012, WHO estimated 7 million people died from air pollution-related diseases, making it the world's largest single environmental health risk. It is predicted that climate change will cause an additional 250 000 deaths per year from malaria, diarrhoea, heat stress and under-nutrition between 2030 and 2050. Children, women and the poor in lower income countries will be the most vulnerable and most affected, widening health gaps. Not only are ways to combat climate change already known and well-documented, they can bring important health gains. As WHO's new series of climate change and health country profiles illustrate, investments in low-carbon development, clean renewable energy, and strengthening climate resilience, are also investments in health. \"
"COP21","Nigeria","COP21_Nigeria10","AfDB pushes for a new energy deal for Africa & binding agreement at Cop21","September 13, 2015 Sunday","SweetCrude Reports","Akinwumi Adesina, President of the AfDB. 13 September 2015, Paris \- Speaking to a delegation of Ministers representing more than 40 nations spanning the globe, the President of the African Development Bank, Akinwumi Adesina, pushed for a New Deal on Energy in Africa to solve Africa's energy crisis. The audience included the host of the 2015 Paris Climate Conference, COP21 , Laurent Fabius, Minister of Foreign Affairs, France; as well as Manuel Pulgar Vidal, Minister of Environment, Peru; Khalid Fahmy, Minister of Environment and Chair of the African Ministerial Conference on Environment (AMCEN), Egypt; and leaders representing European governments, the G7, the G20 and other nations. Adesina also called for a binding agreement toward limited carbon dioxide emissions at the forthcoming COP21 . He outlined the importance of the Paris Climate Conference, as presenting a unique opportunity to reach a lasting agreement on limiting carbon dioxide emissions and charting the way for transformative partnerships to address the adverse effects of climate change. To this end, he stressed, Africa's voice is crucial for a successful outcome at COP21 . Adesina called for strong political will, sharply focused partnerships, and ambitious financing programs to address climate and its impact on the millions of people whose livelihoods are under threat, especially in small, fragile, and island states, and the Sahel region. The Bank's new President also highlighted three sectors for urgent action: building integrated and resilient energy systems, including both conventional and renewable energy; smart agricultural, land use and forestry systems; and boosting urban renewal \- creating more resilient cities, with efficient water systems and smart, climate-friendly infrastructure. While endorsing Africa's position on the need for more resources to address climate change adaptation and mitigation, Adesina assured world leaders of the Bank's strong support for Africa's transition to inclusive and green growth. He affirmed that the Bank will champion the implementation of the polluter pays principle and work with member countries and partners to support governance reforms, continental risk transfer and risk-sharing schemes, and building institutions that will support greater social and economic resilience in the face of climate change. He also announced that the Bank will expand its support to African countries to solve their energy and food security challenges, while ensuring inclusive and green growth. ""Together, we must end Africa's energy crisis and unlock Africa's enormous energy potentials \- both conventional and renewables,"" he said. ""This is why the African Development Bank strongly supports the Africa Renewable Energy Initiative and will cooperate with all stakeholders to launch a New Deal on Energy for Africa that will accelerate energy supply and access across the continent."" During his visit, Adesina held bilateral talks with Laurent Fabius and Helene Le Gal, Adviser to the President of France, and senior officials of the Agence Fran\'e7aise de D\'e9veloppement to discuss strategic partnerships between the Bank and France. He also met with Khalid Fahmy, and other COP21 and G7 delegates to discuss the Africa Renewable Energy Initiative and the Bank's New Deal on Energy for Africa. Adesina secured their support for the Bank to provide leadership to drive this Africa-led initiative. The Bank will host the drafting team of the Africa Renewable Energy Initiative at the Bank's Headquarters on September 16, 2015 to finalize the action plan for the Initiative. On September 17 and 18, 2015, Khalid Fahmy will attend the High Level Consultative meeting on the New Deal on Energy for Africa convened by Adesina in Abidjan. HYPERLINK http://imgs.syndigate.info/480/1450/75/144222465137.jpg http://imgs.syndigate.info/480/1450/75/144222465137.jpg Akinwumi Adesina, President of the AfDB. \"
